Element,Item,Year,Unit,Consumption Value,Import Quantity Value,Export Quantity Value,Population
Tourist consumption,"Cheese, sheep milk",2016,tonnes,,,,
Feed,"Cheese, skimmed cow milk",2014,tonnes,,,,
Feed,"Cheese, skimmed cow milk",2015,tonnes,,,,
Feed,"Cheese, skimmed cow milk",2016,tonnes,,,,
Tourist consumption,"Cheese, skimmed cow milk",2010,tonnes,0,,,
Tourist consumption,"Cheese, skimmed cow milk",2011,tonnes,0,,,
Tourist consumption,"Cheese, skimmed cow milk",2012,tonnes,0,,,
Tourist consumption,"Cheese, skimmed cow milk",2013,tonnes,0,,,
Tourist consumption,"Cheese, skimmed cow milk",2014,tonnes,,,,
Tourist consumption,"Cheese, skimmed cow milk",2015,tonnes,,,,
Tourist consumption,"Cheese, skimmed cow milk",2016,tonnes,,,,
Tourist consumption,"Cheese, whole cow milk",2010,tonnes,0,,,
Tourist consumption,"Cheese, whole cow milk",2011,tonnes,0,,,
Tourist consumption,"Cheese, whole cow milk",2012,tonnes,0,,,
Tourist consumption,"Cheese, whole cow milk",2013,tonnes,0,,,
Tourist consumption,"Cheese, whole cow milk",2014,tonnes,,,,
Tourist consumption,"Cheese, whole cow milk",2015,tonnes,,,,
Tourist consumption,"Cheese, whole cow milk",2016,tonnes,,,,
Tourist consumption,Cherries,2010,tonnes,0,,,
Tourist consumption,Cherries,2011,tonnes,0,,,
Tourist consumption,Cherries,2012,tonnes,0,,,
Tourist consumption,Cherries,2013,tonnes,0,,,
Tourist consumption,Cherries,2014,tonnes,,,,
Tourist consumption,Cherries,2015,tonnes,,,,
Tourist consumption,Cherries,2016,tonnes,,,,
Tourist consumption,"Cherries, sour",2010,tonnes,0,,,
Tourist consumption,"Cherries, sour",2011,tonnes,0,,,
Tourist consumption,"Cherries, sour",2012,tonnes,0,,,
Tourist consumption,"Cherries, sour",2013,tonnes,0,,,
Tourist consumption,"Cherries, sour",2014,tonnes,,,,
Tourist consumption,"Cherries, sour",2015,tonnes,,,,
Tourist consumption,"Cherries, sour",2016,tonnes,,,,
Tourist consumption,Chestnut,2010,tonnes,0,,,
Tourist consumption,Chestnut,2011,tonnes,0,,,
Tourist consumption,Chestnut,2012,tonnes,0,,,
Tourist consumption,Chestnut,2013,tonnes,0,,,
Tourist consumption,Chestnut,2014,tonnes,,,,
Tourist consumption,Chestnut,2015,tonnes,,,,
Tourist consumption,Chestnut,2016,tonnes,,,,
Feed,Chick peas,2010,tonnes,30128,,,
Feed,Chick peas,2011,tonnes,33850,,,
Feed,Chick peas,2012,tonnes,15273,,,
Feed,Chick peas,2013,tonnes,12824,,,
